case_id,agreement_start,product,broker_group,arrangement_type,amount_financed,total_cost_of_credit,commission_paid,apr_percent,commission_disclosed,key_evidence_complete,customer_vulnerability,customer_deceased,duplicate_representatives,existing_resolution,business_purpose,adapted_vehicle,zero_interest,lowest_five_percent_apr,visible_captive_link,complaint_age_days,remediation_status,years_deprived,illustrative_interest_rate,adjusted_credit_cap,reviewer_note,arrangement_reason,indicative_status,evidence_gaps,exclusion_reasons,estimated_loss,hybrid_principal_before_caps,cap_applied,illustrative_principal_redress,illustrative_interest,illustrative_total_redress,review_priority,human_decision_required,calculation_status
MF-001,2007-06-12,PCP,Dealer Group B,No flagged arrangement,4675.0,888.25,143,5.2,False,True,False,False,False,False,False,False,False,False,False,29,Assessment,6.43,0.05,497.42,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,186.53,164.76,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-002,2007-08-18,Hire Purchase,Independent Dealer,Contractual tie,5350.0,1391.0,186,6.5,False,True,False,False,False,False,False,False,False,False,False,46,QA,11.2,0.03,792.87,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,292.11,239.06,90% commission cap,167.4,56.25,223.65,Standard,True,Illustrative only — scheme partly suspended
MF-003,2007-10-24,Conditional Sale,Online Broker,High commission,6025.0,1988.25,662.75,7.8,False,True,False,False,False,False,False,False,False,False,False,63,Awaiting rules,4.53,0.05,1153.19,Fictional agreement created for portfolio demonstration.,High commission thresholds not met,No redress indicator,None identified,None identified,417.53,540.14,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-004,2007-12-30,PCH,Dealer Group A,DCA,6700.0,1005.0,272,9.1,False,True,False,False,False,False,False,False,False,False,False,80,Evidence gathering,9.17,0.03,592.95,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,211.05,241.53,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-005,2008-03-06,PCP,Dealer Group B,No flagged arrangement,7375.0,1622.5,315,10.4,True,True,False,False,False,False,False,False,False,False,False,97,Assessment,2.09,0.05,973.5,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,340.72,327.86,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-006,2008-05-12,Hire Purchase,Independent Dealer,Contractual tie,8050.0,2334.5,358,11.7,False,True,False,False,False,False,False,False,False,False,False,114,QA,7.87,0.03,1424.05,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,490.25,424.12,90% commission cap,322.2,76.07,398.27,Standard,True,Illustrative only — scheme partly suspended
MF-007,2008-07-18,Conditional Sale,Online Broker,High commission,8725.0,3141.0,959.75,13.0,False,True,False,False,False,False,False,False,False,False,False,131,Awaiting rules,12.54,0.05,1947.42,Fictional agreement created for portfolio demonstration.,High commission thresholds not met,No redress indicator,None identified,None identified,659.61,809.68,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-008,2008-09-23,PCH,Dealer Group A,DCA,9400.0,1692.0,444,14.3,False,True,False,False,False,False,False,False,False,False,False,148,Evidence gathering,5.2,0.03,1065.96,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,355.32,399.66,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-009,2008-11-29,PCP,Dealer Group B,No flagged arrangement,10075.0,2518.75,487,15.6,False,True,True,False,False,False,False,False,False,False,False,165,Assessment,10.84,0.05,1612.0,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,528.94,507.97,Not applicable,0.0,0.0,0.0,Urgent,True,Illustrative only — scheme partly suspended
MF-010,2009-02-04,Hire Purchase,Independent Dealer,Contractual tie,10750.0,3440.0,530,16.9,True,True,False,False,False,False,False,False,False,False,False,182,QA,3.42,0.03,2236.0,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,No redress indicator,None identified,None identified,722.4,626.2,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
